,L_HALPHA (total),log L_HALPHA (total),L_HBETA (total),log L_HBETA (total),L_OIII5007 (total),log L_OIII5007 (total),L_NII6583 (total),log L_NII6583 (total),L_SII6716 (total),log L_SII6716 (total),L_SII6731 (total),log L_SII6731 (total),L_OII3726 (total),log L_OII3726 (total),L_OII3729 (total),log L_OII3729 (total)
3C278,6.004472462519526e+39,39.77847485742072,9.359328067018757e+39,39.97124467061194,0.0,-inf,1.7459271587635536e+38,38.24202612069433,1.2851405181294407e+38,38.10895061631461,2.250666833706203e+37,37.35231121113032,,,,
ARK402,1.6568034943828836e+40,40.219271001861735,3.6337949667408716e+39,39.56036041903004,4.05947962600085e+39,39.6084703660795,1.4249980300037925e+40,40.1538142639522,1.3702892915723613e+40,40.136812263850175,6.63675553900946e+39,39.82195582095461,1.3023183490993342e+39,39.114717159621904,3.3413961442767924e+39,39.523927967130085
ESO103-G35,1.0272861500021596e+41,41.01169143294216,3.4607905489954383e+40,40.539175316090414,2.643174689652879e+41,41.42212586697022,1.0230841716130193e+41,41.009911365641074,2.6700472049747844e+40,40.42651893952144,3.6079548464496345e+40,40.55726109370902,0.0,-inf,8.21204348654311e+39,39.914451240493456
ESO137-G34,2.7523098970546187e+41,41.43969733181768,1.0023435536473988e+41,41.0010166016516,7.469261512024016e+41,41.87327766512098,3.2487159201369157e+41,41.51171173667248,1.0620032038040614e+41,41.026125826907716,1.0299787310674572e+41,41.012828256670794,0.0,-inf,0.0,-inf
ESO138-G01,3.0773748361455205e+41,41.48818039821529,1.0607815651228288e+41,41.02562596370493,8.471556462813967e+41,41.92796320975348,8.576970401560334e+40,40.93333391136468,5.146579006346607e+40,40.71151864411992,4.88902190432083e+40,40.68922198304096,1.3406600809297448e+41,41.1273186781575,6.053239525461016e+40,40.78198785919718
ESO202-G23,7.856694146265512e+40,40.895239846797104,1.6957456565755866e+40,40.22936071335158,2.6538622433710184e+40,40.42387837576408,1.1672793499173892e+41,41.06717480258307,4.5108395861160035e+40,40.65425738304908,2.9767395985796183e+40,40.473740844775605,3.046720987789517e+38,38.48383268428121,0.0,-inf
ESO287-G42,1.293808738311397e+40,40.11187008001486,2.939609611466486e+39,39.46828965869673,5.524919586628344e+39,39.742325961391046,6.06675063508848e+39,39.78295614427144,7.073536452481346e+39,39.84963659594725,3.1475528447054845e+39,39.497973030271986,2.0039560154705087e+39,39.30188818503549,9.661618836801909e+37,37.98504990001668
ESO323-G77,3.796943236589259e+41,41.5794341045877,1.3493124762324152e+41,41.13011253602376,1.2057254483120762e+41,41.08124842732529,2.1433505773562555e+41,41.33109321227324,4.494078004336716e+40,40.65264060625823,3.5638421418669773e+40,40.551918458991544,1.409225827056854e+40,40.14898059395108,2.783102783790414e+40,40.44452924571914
ESO339-G11,1.5023858358690723e+42,42.17678148051782,5.203664052548087e+41,41.71630925083457,1.596932862844564e+42,42.203286658211724,1.2408588000580517e+42,42.09372236502451,2.73357585800442e+41,41.43673113026914,2.3454022411930627e+41,41.37021733581432,4.528965050290079e+40,40.65599896927542,1.590397897424708e+41,41.20150579289739
ESO350-IG38,3.5493301555513464e+42,42.55014639891512,1.2400806446988196e+42,42.09344992904033,4.177368584577062e+42,42.620902796353406,5.645914289910531e+41,41.75173428087759,3.0459431267184028e+41,41.483721790010215,2.339921830933324e+41,41.369201349307,1.2824718832172414e+42,42.1080478524603,1.6695383496349184e+42,42.222596399337405
ESO362-G08,9.8709402208246e+40,40.994358521795085,3.3743525362255856e+40,40.52819045363525,2.5027474519563634e+41,41.39841702789212,1.2379960096060049e+41,41.09271924483847,1.9624431764823378e+40,40.29279709038675,1.4896989421688533e+40,40.173098509375016,2.538429905567913e+40,40.40456517560143,2.313946148596917e+40,40.36435324759786
ESO362-G18,1.5334069251696347e+41,41.18565742028461,5.343174511896928e+40,40.727799358782605,1.5650033919619685e+41,41.19451528316603,7.181383702470361e+40,40.85620813177016,3.1202118891174094e+40,40.494184087335704,2.216700196064414e+40,40.34570695969124,3.624971331864041e+40,40.55930457629667,5.934666944637311e+40,40.773396351232506
ESO383-G35,1.2276441533450023e+41,41.089072499839006,4.294359350080258e+40,40.632898383189904,5.109372963846027e+40,40.70836760560423,3.270854531162505e+40,40.51466122962842,4.891697375072218e+39,39.68945958156099,4.648252357968755e+39,39.66728969827603,4.7893282979842894e+39,39.68027460800025,7.02654715280073e+39,39.846741965010516
ESO420-G13,7.661783933122719e+41,41.884329900456294,2.6629518716998772e+41,41.42536331737997,3.562576736235655e+41,41.55176422761721,5.3963502916560616e+41,41.73210013314138,1.0720611103574307e+41,41.03021954201215,9.312959204190196e+40,40.96908770051383,3.3031176292389655e+40,40.51892403987966,1.2025787629844444e+41,41.08011353012639
ESO443-G17,3.3040453092800236e+41,41.51904599428859,1.1550035324458366e+41,41.06258331247006,3.0965074435959155e+40,40.49087212833356,1.841832200516681e+41,41.265250061415024,5.70895148391034e+40,40.75655635227984,4.689259654608129e+40,40.671104281244155,2.779885063671416e+40,40.44402684007449,4.3849752072211975e+40,40.64196714219523
ESO460-G09,7.85140697467373e+40,40.89494748943115,2.3024064274661412e+40,40.36218198898359,2.788993672283188e+40,40.44544752893238,4.888167313482549e+40,40.6891460626352,3.174274982169406e+40,40.50164454625813,1.7939137813502426e+40,40.25380156625343,2.213133907654349e+40,40.345007692099855,3.3429853379623107e+40,40.5241344718196
ESO500-G34,3.491099053569813e+41,41.542962171303,1.207632067509694e+41,41.08193463677703,1.272657195616158e+41,41.104711437352435,2.565870323647151e+41,41.40923470381304,6.214836349679948e+40,40.793429697198626,4.96177437748942e+40,40.69563701208469,3.162359811616382e+40,40.500011282202564,1.4671011415327217e+41,41.16646005501262
ESO565-G19,2.2891494026798915e+41,41.35967413808391,7.851552877869324e+40,40.89495555987817,1.0277729887896914e+41,41.011897199675545,1.6734599091799823e+41,41.22361531249274,6.779482654347301e+40,40.83119655390619,5.24495084201503e+40,40.71974142214985,6.127270172213873e+40,40.78726703027724,5.518010755958053e+40,40.741782542690586
FAIRALL49,2.2840692002572308e+42,42.358709257557436,8.010775971759586e+41,41.90367458648759,2.5155581232373527e+42,42.400634356370425,1.627653153746727e+42,42.21156186402836,2.0458116789571066e+41,41.31086565354332,2.7912103072280803e+41,41.44579256018182,1.9264532101129223e+40,40.28475846528956,6.22528059660188e+41,41.79415893148013
FAIRALL51,7.370250765090543e+40,40.86748226452694,2.4766784666189936e+40,40.39386962820995,1.0961989234599103e+41,41.03988937123039,3.797607628002361e+40,40.57951009104968,9.385869912938459e+39,39.97247453064736,9.164171559931891e+39,39.96209321090085,0.0,-inf,1.0112051837625027e+39,39.004839287276994
IC1368,8.703135259254663e+40,40.93967573313642,2.8288506128987145e+40,40.451610013661735,1.060619784646986e+41,41.025559724124115,1.0286750384984487e+41,41.0122782015106,2.0531264200027455e+40,40.312415691610845,1.7855796022142507e+40,40.25177921606999,0.0,-inf,0.0,-inf
IC1459,1.955872194654225e+40,40.29134047265513,8.672681694673674e+39,39.93815340717856,3.800515419675083e+39,39.57984249891717,2.9298514027783696e+40,40.46684559421421,7.18892951654874e+39,39.85666422561682,4.570656673296496e+39,39.65997860031083,7.307106013402895e+39,39.86374540824872,2.2493617479023163e+39,39.35205930536188
IC1481,4.753570429113801e+41,41.67701993282027,1.6008607262686653e+41,41.20435355025532,4.265806152055731e+41,41.63000111623171,4.8425766795207365e+41,41.68507650625828,2.3518605222611076e+41,41.37141156221341,1.893794356019571e+41,41.27733281791183,3.353994786334689e+40,40.525562383175306,1.811708575598038e+41,41.25808834003593
IC1657,2.388318232941154e+41,41.37809219415003,7.745202921321206e+40,40.88903280059175,5.289806777312078e+40,40.72343980869308,9.756707651569816e+40,40.9893032920544,5.231932152536318e+40,40.71866210344118,3.4494351467266504e+40,40.53774798413302,0.0,-inf,0.0,-inf
IC1816,2.8753420718516755e+41,41.458689518966644,9.77617911938636e+40,40.990169150125205,4.960968332067495e+41,41.695566454762,2.5764869246155497e+41,41.41102794280651,5.937045312689176e+40,40.773570363559,7.441544564345345e+40,40.87166308691043,3.370180299331993e+39,39.52765313556285,4.584574589176527e+40,40.66129904291886
IC1858,9.553056841020552e+39,39.98014236182072,4.404048734170335e+39,39.64385211612718,8.211500138264194e+38,38.91442250453186,7.402625727358403e+39,39.86938579224969,3.994918332140349e+39,39.60150790548647,2.650040064252626e+40,40.4232524398056,4.49158493420094e+38,38.65239961644186,0.0,-inf
IC2560,5.922096843161943e+40,40.77247550506391,1.906542569515751e+40,40.280246506698276,1.90947788811883e+41,41.28091463357942,5.623829904527944e+40,40.750032176762474,1.3785942319684493e+40,40.13943645707597,1.4762704828243244e+40,40.16916593637322,0.0,-inf,0.0,-inf
IC3639,8.477498552402614e+41,41.92826772429104,3.0119520074205577e+41,41.47884804751589,7.368058349683396e+41,41.86735305650003,4.55603300177796e+41,41.65858686124511,1.57515665758873e+41,41.197323753137034,1.354583188347986e+41,41.131805681300605,3.314422460782348e+41,41.5204078633752,2.780153595934278e+41,41.444068790171315
IC4329A,2.7155382467380464e+41,41.43385592395071,9.390666480956318e+40,40.972696416412,5.171856829594591e+41,41.71364649397756,1.3000747024662192e+41,41.11396830764281,4.52020515510706e+40,40.65515814625142,4.1848915435788013e+40,40.62168420721922,1.8209156606197361e+40,40.26028983103616,1.0860931629280754e+40,40.03586707977422
IC4777,1.7268518627532628e+41,41.237255083399404,6.70991913648227e+40,40.82671728637001,2.14550371190218e+41,41.331529270235386,1.5978184746048758e+41,41.20352743833502,4.1084616901851406e+40,40.613679241700595,3.4308098765055954e+40,40.53539665164046,5.025622567290821e+40,40.70118986923508,1.973596708878735e+40,40.2952584122635
IC4995,1.6832334810676069e+41,41.22614436107767,6.051782832951836e+40,40.78188333505788,5.756164508970591e+41,41.760133197411406,1.3192753138657219e+41,41.120335436043575,3.630256024356646e+40,40.55993725480041,3.6536800669570696e+40,40.56273051585771,1.64707211609138e+40,40.21671261491649,3.4375136158900845e+40,40.53624442706936
IC5063,5.799800695438214e+41,41.76341306970801,2.0016879883398048e+41,41.30139638308204,1.4787382346012947e+42,42.16989130223916,3.726284212517817e+41,41.57127597649174,1.568160787678869e+41,41.1953905899949,1.420714665351925e+41,41.15250686349663,2.0125202469108971e+40,40.303740258270935,3.536131064737058e+41,41.5485283535235
IC5169,1.110233070313973e+41,41.0454141594406,3.69049793719832e+40,40.567084966914656,4.753468468349513e+40,40.677010617407184,7.049350210164453e+40,40.84814908675795,1.6975941230240226e+40,40.22983386305664,1.1484387096761702e+40,40.06010782255264,6.718933863190295e+39,39.8273003661987,2.130515116570319e+40,40.32848461998204
IRAS01475-0740,7.164815295483938e+41,41.85520499903398,2.4917057407104417e+41,41.39649675278191,9.363943981233773e+41,41.971458806913326,3.9266119810082574e+41,41.59401798738378,4.0638243447284346e+40,40.60893492768043,4.512114327866146e+40,40.65438009525994,8.180532016280053e+40,40.91278154868616,8.219405300504694e+41,41.91484039612248
IRAS11215-2806,2.3290341462204596e+40,40.36717585581953,7.027857417904932e+39,39.8468229418891,4.922441054534297e+40,40.69218052423245,1.242700244397886e+40,40.09436638374745,5.1966122493568885e+39,39.715720312696035,4.8777417705645316e+39,39.68821880487738,3.6300263194575485e+38,38.55990977389389,3.997310288436065e+39,39.60176786137625
MARK1210,3.840684121096162e+41,41.58440858987642,1.3779521994237701e+41,41.139234152341885,1.164962732510415e+42,42.0663120323801,1.839430216665312e+41,41.26468331644437,4.308210044234498e+40,40.63429686891291,6.147774573172036e+40,40.78871793439336,4.0004679784270656e+40,40.60211079846807,1.4153784627842319e+40,40.15087258284397
MARK1239,7.77454895173918e+41,41.89067520239946,3.0098424462416744e+41,41.47854376253115,6.361343007921252e+41,41.803548813660356,2.172064019591656e+41,41.33687262153635,3.210766444895454e+40,40.50660871560009,2.3299161295836406e+40,40.36734028792962,6.111017680587762e+39,39.786113540236045,3.3193061842091674e+40,40.52104731507185
MARK573,4.636558512986329e+41,41.66619574491414,1.6411416701944074e+41,41.21514607278252,1.5892948736464505e+42,42.20120448255454,3.680464744663641e+41,41.565902661961324,1.2840229819089289e+41,41.10857279696251,1.128337921358232e+41,41.05243918422455,8.633912423995595e+40,40.936207639181454,2.262920756309405e+41,41.35466934595644
MARK938,1.314060100581643e+42,42.11861522881133,4.52247418664791e+41,41.65537609667538,6.501513743714725e+41,41.81301448495118,1.4754193095914813e+42,42.16891546300074,3.192671560425305e+41,41.50415424367833,2.2902005684344395e+41,41.35987351812591,2.5594670969959773e+42,42.40814955088766,3.506542468735568e+41,41.544879103130945
MCG-01-24-012,1.6811370872081698e+41,41.22560312913879,4.975449360429785e+40,40.69683231039672,3.099918356672278e+41,41.49135025586213,7.214480142025276e+40,40.8582050423479,3.5949709976442997e+40,40.5556953910711,2.706989634476255e+40,40.43248659278625,2.577905463237678e+40,40.41126698689364,6.521713998894191e+40,40.81436174947982
MCG-02-27-009,8.163926665367465e+40,40.9118990948964,2.2899911649901034e+40,40.35983380679253,7.248295508523805e+39,39.86023589094705,3.9755222220075194e+40,40.599394185379786,1.152308624274786e+40,40.06156881230655,3.045244502743311e+39,39.48362216788163,5.882341644437927e+38,38.76955024458202,8.667157985267848e+38,38.937876712971466
MCG-02-51-008,5.067351660358147e+41,41.70478104418678,1.7385911386104568e+41,41.24019746174815,1.5234210488426224e+41,41.182819951869845,2.2152858765534805e+41,41.34542977868479,9.043563855766224e+40,40.956339609444946,6.370210553616904e+40,40.80415378724316,3.888763618718295e+40,40.58981154504864,1.2742149593670746e+41,41.10524269942161
MCG-03-34-064,3.956180259766665e+41,41.59727607161029,1.413319086576707e+41,41.15024022405304,1.7589688443198655e+42,42.24525814709828,4.861780233494136e+41,41.68679532358631,3.7502633531848183e+40,40.574061766079474,6.332072457547043e+40,40.80154587582595,4.834355267361767e+40,40.6843385627008,9.326984118227825e+40,40.96974123725692
MCG-04-49-001,6.051124632748876e+40,40.781836098025416,2.1064196269450494e+40,40.323544892734084,1.7748741512754154e+40,40.249167564521095,3.276709027409819e+40,40.515437877634774,2.2521594409450553e+40,40.352599133013904,1.401787029680278e+40,40.14668203726805,2.201247134559915e+39,39.34266880363944,3.310842517252472e+40,40.51993852369534
MCG-05-23-004,6.002249947867765e+39,39.77831407651362,2.0053959472377165e+39,39.30220013292807,1.7203678378262842e+39,39.235621314848615,3.382706566284364e+39,39.529264326439886,2.5352740224764465e+39,39.40402490647719,1.5612337534760722e+39,39.19346793204679,0.0,-inf,0.0,-inf
MCG-05-23-008,4.969055054363351e+39,39.69627380851324,2.066369138926071e+39,39.31520790705696,7.586747026175391e+38,38.88005560311405,5.1921313171053636e+39,39.71534566791655,2.2237003188114728e+39,39.347076258334454,1.6120327410024267e+39,39.20737385824592,0.0,-inf,0.0,-inf
MCG-06-23-038,1.664135891800086e+41,41.22118878748908,5.249624549137907e+40,40.72012824396437,2.763167222030103e+41,41.44140716845157,1.1619669135356063e+41,41.06519376189812,4.578742524034463e+40,40.66074622257662,4.7736569338933205e+40,40.67885120455957,2.494383484418089e+39,39.39696322234371,5.380705871878201e+39,39.730839252646476
NGC1052,2.845077075657721e+40,40.45409403631261,1.2330682162367528e+40,40.09098710345356,1.5997638313709557e+40,40.20405587371665,3.1114622925444583e+40,40.492964542187245,1.4171981479661342e+40,40.15143057611343,1.4304357096417766e+40,40.15546834338892,1.15426049374356e+40,40.06230383154824,1.8078129369479306e+40,40.25715348993674
NGC1068,9.015438691591804e+41,41.95498686435871,3.1408962225159833e+41,41.49705358723161,1.5473226867968755e+42,42.18958089319605,9.551970399039802e+41,41.98009296793588,1.282879279112677e+41,41.10818579052775,1.3431508600592658e+41,41.12812479450917,1.812505835555169e+41,41.25827941350252,1.954762146468323e+41,41.29109392042207
NGC1097,3.845928468456054e+42,42.585001202407994,1.2913687965532789e+42,42.11105028830457,2.012297659663357e+41,41.30369222210349,5.401949207906573e+42,42.732550496395376,9.41381115807098e+41,41.973765482070185,3.1932635798210025e+40,40.50423476775251,1.6765109727618686e+40,40.22440640023089,3.3182311944271014e+40,40.52090664177454
NGC1125,1.6447027834699773e+41,41.216087427415914,5.64631287366267e+40,40.75176493961687,2.9407881562749394e+41,41.46846374063271,1.1750483409968432e+41,41.07005573366846,4.007745675772931e+40,40.60290015419829,3.680240291348387e+40,40.56587617568431,8.127685871657704e+40,40.90996691014137,4.507828660835572e+40,40.653967400482365
NGC1194,2.706817132885757e+40,40.432458916700966,8.572375065383332e+39,39.93310116438366,4.486439757903899e+40,40.651901840595734,1.4126623150247922e+40,40.15003835983282,8.299840558713354e+39,39.919069749588594,5.91595956368526e+39,39.772025196878545,5.869745065913135e+38,38.76861923942965,3.5501671997947224e+39,39.55024880720672
NGC1204,2.43619070251979e+41,41.38671128141994,8.179394547685159e+40,40.912721157665096,1.98108273166266e+40,40.29690261241605,1.758702046894464e+41,41.24519226904804,4.388431225605081e+40,40.642309296591606,3.163022593295345e+40,40.500102294068256,7.640448631036666e+37,37.88311886018083,0.0,-inf
NGC1217,1.586603478652348e+41,41.20046840214848,4.593623772839775e+40,40.6621554227113,1.6274610700670525e+40,40.2115106087565,9.968776841572458e+40,40.998641874104656,1.7222204140314701e+40,40.23608873275747,8.650803291148431e+39,39.93705643679606,3.870114215473536e+39,39.58772378218117,4.3439406473109577e+39,39.637883882713055
NGC1266,6.536852532865807e+40,40.81536868767587,2.2485613453625213e+40,40.351904740509255,3.2257232253639583e+40,40.508627101163974,1.6739077181762454e+41,41.22373151184628,3.8244498145142104e+40,40.582568966363674,2.9044237639070415e+40,40.46305998148396,8.317945725688171e+39,39.92001608228149,8.929453082910705e+40,40.95082485974546
NGC1320,1.1918625791938235e+41,41.07622618448284,4.199873013216745e+40,40.623236159328144,2.2527224120636728e+41,41.35270767981248,7.309492244041794e+40,40.8638872096159,2.4091814042395926e+40,40.38186950232052,1.985983534970114e+40,40.29797564360485,5.987786432957503e+39,39.77726630191782,1.7942679122341347e+40,40.253887290501744
NGC1346,4.740040967554987e+41,41.67578209524079,1.628776239095086e+41,41.211861425130415,2.7604935276786234e+40,40.44098673321977,1.7107002408567229e+41,41.23317391652711,7.485933743483277e+40,40.87424597894098,5.279976250916107e+40,40.72263196910213,1.6740354933225435e+40,40.223764661775945,3.781206086559478e+40,40.57763034830051
NGC1365,9.302053734061221e+41,41.96857884391973,3.2503966166875338e+41,41.51193635726485,2.5849690573392907e+41,41.4124553488585,4.397772023581945e+41,41.64323271218562,9.511755241246679e+40,40.97826066638528,7.619985618146394e+40,40.88195415165908,6.805296122454313e+40,40.83284702763631,1.3769208888105458e+41,41.138908988521244
NGC1566,5.478975557801285e+40,40.73869936301261,2.035114757969601e+40,40.30858890365841,2.2955243037540144e+40,40.36088189519848,3.8759084794959853e+40,40.58837351365243,9.294088020387283e+39,39.968206781182175,6.7469403636015e+39,39.82910687143094,2.9152195202931345e+39,39.464671263335994,6.780393151283767e+39,39.831254876534146
NGC1667,1.1503187608513465e+42,42.060818202872085,3.995548960501156e+41,41.601576456775845,1.3779857571890452e+41,41.139244728742746,5.074332468328339e+41,41.70537891862677,1.5544595303063621e+41,41.191579419854015,1.1988789538160853e+41,41.07877533627356,9.351188391796685e+40,40.970866806509235,1.162922778530792e+41,41.06555087726378
NGC1672,1.2000334566189508e+42,42.079193354233,4.195557171627625e+41,41.62278964347112,1.692653133616777e+41,41.228567969573625,6.736997600904489e+41,41.82846639269717,1.6543741808573324e+41,41.21863374361,3.9561224695192517e+40,40.59726972756951,4.7760502704981876e+41,41.679068889328406,5.290804915887519e+41,41.72352174839361
NGC1808,6.157229023372387e+41,41.78938530784469,2.1510834044811493e+41,41.33265724971972,3.7329613381026946e+40,40.57205349200624,3.192802746531016e+41,41.504172088367405,7.790954942428138e+40,40.89159069269303,6.711616255609901e+40,40.826827117243255,0.0,-inf,0.0,-inf
NGC2110,1.4408084317092752e+41,41.15860624133986,4.981591934231552e+40,40.697368149541354,2.3286463335616334e+41,41.367103534457485,1.8266167940422557e+41,41.261647446264014,7.254020520196821e+40,40.86057877977979,6.862499857765306e+40,40.8364823484568,9.784587682946582e+40,40.990542529452995,1.2094686501179303e+41,41.08259461576756
NGC2217,1.7720729942143525e+40,40.24848160712868,5.933421055504423e+39,39.77330516842741,1.9578654447912462e+40,40.291782841403446,3.0321680900571474e+40,40.481753273002504,1.293571927418626e+40,40.111790582115205,9.53427105173107e+39,39.979287494412695,1.9032774556017808e+40,40.279502103396574,1.6374985820731146e+40,40.21418093260392
