,L_HALPHA (total),log L_HALPHA (total),L_HBETA (total),log L_HBETA (total),L_OIII5007 (total),log L_OIII5007 (total),L_NII6583 (total),log L_NII6583 (total),L_SII6716 (total),log L_SII6716 (total),L_SII6731 (total),log L_SII6731 (total),L_OII3726 (total),log L_OII3726 (total),L_OII3729 (total),log L_OII3729 (total)
NGC2617,1.873564600623429e+41,41.27266867218861,6.347872589471031e+40,40.802628201283035,4.165006348061582e+40,40.61961566766982,8.933983414575028e+40,40.95104514189391,3.505857860984743e+40,40.54479430438717,2.51236382364331e+40,40.40008253122734,9.926883271954818e+39,39.99681291513589,6.41117022975376e+39,39.80693730844842
NGC2945,5.023237949394071e+40,40.70098375105646,1.6241432921332576e+40,40.21062434278539,1.3557333195836287e+40,40.13217426974968,5.172359478278904e+40,40.71368870066459,1.9889581647525833e+40,40.29862564837925,1.4541483497812027e+40,40.16260871477946,1.4285432465093687e+40,40.1548933923814,7.763654994676783e+39,39.890066227741926
NGC2974,9.04726663386788e+39,39.95651738968789,3.060845671022197e+39,39.48584143285996,7.700250809260894e+39,39.886504871056125,1.794535265649968e+40,40.25395199737346,5.483673421967865e+39,39.73907158264911,3.417611564497819e+39,39.53372270057854,5.470159275959397e+39,39.7379999719757,4.429445592737921e+39,39.64634937157696
NGC2992,2.557567365978885e+41,41.40782708179283,8.788076426516078e+40,40.94389382515674,4.997034165137449e+41,41.698712318760165,1.992265084302821e+41,41.299347123741576,5.784654267457688e+40,40.76227740750173,5.320874702737142e+40,40.72598303217213,0.0,-inf,0.0,-inf
NGC3100,1.8032421998030495e+40,40.25605406225968,6.530869861185747e+39,39.8149710297825,6.168397096283245e+39,39.79017232405286,1.783948025116156e+40,40.251382197162265,8.292028309381409e+39,39.918660776126494,5.4353027006097185e+39,39.735223735642876,0.0,-inf,0.0,-inf
NGC3281,1.1625240394494254e+41,41.06540194228654,4.0414356856313637e+40,40.606535671938815,2.7096350715298943e+41,41.43291080486234,1.0747354718572282e+41,41.03130158308899,3.1079326703640308e+40,40.4924716017614,2.3976903350493395e+40,40.37979309266465,2.8193808149867434e+40,40.45015374017721,1.738293896749991e+40,40.2401232053383
NGC3312,4.596098616863709e+40,40.662389338619434,1.4879305563778976e+40,40.172582662603915,3.4018031815391426e+40,40.531709182984905,5.878551385785671e+40,40.76927031881951,2.8127026986869116e+40,40.44912382987467,2.083966872402189e+40,40.31889081095797,3.0076394250332465e+40,40.4782257690523,5.153532216971981e+40,40.71210499535426
NGC3390,7.091775678013681e+39,39.85075498985308,1.8337283486196766e+39,39.26333499903647,1.3465465006563524e+39,39.1292213556159,1.0352865734272847e+40,40.015060581707225,3.3044744720649656e+39,39.51910240118023,2.5142924018902437e+39,39.40041578295337,2.8600225993247635e+38,38.45636946485046,1.5032823185112902e+38,38.17704054935455
NGC3393,3.940666789426861e+41,41.59556971382241,1.37327981797597e+41,41.137759037616455,1.28768709190163e+42,42.109810342239406,3.849452975690444e+41,41.585399018724566,1.1058076611519033e+41,41.043679594451035,1.0304626030840546e+41,41.0130322352526,1.4971354797362932e+41,41.17526110257391,1.577204142877873e+41,41.19788790917384
NGC3783,1.6205064368340994e+41,41.20965076043826,5.654546211174111e+40,40.75239775764507,4.1244368868343675e+41,41.61536466230787,8.111490258350709e+40,40.90910065094621,1.709728029588809e+40,40.2329270316537,1.3489714976833817e+40,40.130002773593624,1.4558860089231762e+40,40.16312737248137,2.665352054074291e+40,40.42575458110883
NGC3831,2.1067731369092976e+40,40.32361777210882,8.710045074318949e+39,39.94002040247923,9.396436007872565e+39,39.972963160449105,2.513837267858896e+40,40.40033716039911,1.0549143645976298e+40,40.0232172060866,7.692035412755047e+39,39.88604127498515,1.974480650936363e+39,39.295452882193736,4.184531057192453e+39,39.62164679549897
NGC3858,1.2266054152100447e+41,41.088704877676314,3.9892488499287575e+40,40.60089112850838,7.894094016949357e+39,39.89730229444348,4.427806694195007e+40,40.64618865252354,1.104114058914566e+40,40.04301393987737,6.296922954077003e+39,39.799128379529805,3.768655724862028e+38,38.57618646548839,0.0,-inf
NGC424,2.6956806194486583e+41,41.4306684362952,9.182040999358917e+40,40.96293922763231,5.0295011048506285e+41,41.701524907887716,1.8118964354699995e+41,41.2581333706094,2.5804341542401147e+40,40.41169278151679,2.6359637282158537e+40,40.4209394299189,8.37830869058795e+39,39.923156357475335,5.685104230863762e+40,40.75473843146421
NGC4303,8.4082664012423115e+40,40.92470646310066,2.8732552207228502e+40,40.45837420449131,1.6045564625528763e+40,40.205355004039006,5.283836239858167e+40,40.722949349209706,1.3287706621742525e+40,40.123450030794565,9.9780645408059e+39,39.9990463087458,7.290891060036242e+39,39.862780609087274,1.273173126699431e+40,40.104887463243564
NGC4404,1.4235426690992935e+40,40.15337048916941,8.463432104240712e+39,39.927546514536466,3.9896139266234713e+39,39.60093087121321,1.233978599312539e+40,40.091307627864914,6.362298684947238e+39,39.803614053670984,4.0366748327430903e+39,39.60602376698945,3.065080951163127e+39,39.48644194905972,0.0,-inf
NGC4418,5.65507760644556e+39,39.752438569264974,1.4643693861318158e+39,39.1656506410146,7.161327937804283e+38,38.85499356177527,4.187973307530619e+39,39.622003904996035,1.7174059414580763e+39,39.23487296103038,1.3187380111050273e+39,39.120158524407,0.0,-inf,7.856087847944574e+38,38.895206331151634
NGC4472,4.1370106884031523e+37,37.61668664294253,9.671739420192198e+37,37.98550458707758,1.5178536787716682e+39,39.181229907550964,4.177498257764197e+38,38.6209162774419,1.0517297405359384e+39,39.021904154957454,2.8888411028493353e+38,38.460723654667476,2.084938796244267e+38,38.31909331070377,2.5231384673650733e+38,38.40194108482691
NGC4507,4.62340399292526e+41,41.66496184373712,1.6075918369228843e+41,41.2061757922523,1.0029868621163232e+42,42.001295244338706,2.2364964173375763e+41,41.34956820680925,9.03887573098783e+40,40.95611441563107,7.532809977408773e+40,40.87695701206239,1.7008217818967195e+41,41.23065880908948,1.3983319984239855e+41,41.145610295848606
NGC4593,1.4720394109987576e+40,40.167919437549145,5.861917303388459e+39,39.76803968736489,5.224404367185747e+39,39.71803678381851,1.294653920550713e+40,40.11215369082495,1.670425505561856e+39,39.22282711257229,9.904389795501923e+38,38.9958277240331,1.1885311799120067e+38,38.075010579489614,0.0,-inf
NGC4594,2.1680938223068895e+40,40.33607807197544,1.4612476951625133e+40,40.164723839154334,4.468245277903991e+39,39.65013700506946,2.172636972146067e+40,40.33698716572924,3.3029678871007053e+39,39.51890435131092,1.5154943025953493e+39,39.18055430800417,3.174479395794418e+39,39.50167251259738,1.0276279458159974e+39,39.011835906171044
NGC4636,4.7910880370426244e+39,39.68043415116508,5.872035236951867e+39,39.768788653033326,3.362916306495769e+38,38.52671605908408,3.363949468167698e+39,39.52684946338606,6.2695334052280495e+38,38.79723522072305,3.155358364905185e+38,38.49904869069979,2.2507486993369026e+38,38.35232700784645,3.493577550092479e+38,38.54327038812376
NGC4691,1.4162534689796814e+41,41.15114098663625,4.874908888006728e+40,40.68796650315134,1.6092573294612168e+40,40.206625495826366,4.978478948305903e+40,40.69709667503687,2.1027529818416162e+40,40.32278825750607,1.5905587901213695e+40,40.20154972610194,3.565126872510128e+40,40.55207498974205,4.081137330470755e+40,40.61078120904971
NGC4696,1.2654112674054845e+40,40.102231697161415,1.732874711756822e+39,39.23876716400669,2.409709337924616e+39,39.38196466060461,2.641995617609774e+40,40.42193209289642,6.452289830100335e+39,39.80971386720828,3.380983426878879e+39,39.52904304191848,4.614540357841578e+38,38.66412844859172,5.327915752232972e+38,38.72655734892696
NGC4845,3.9269580130196073e+40,40.59405625782469,1.3179814163153164e+40,40.119909286700626,1.3092392404924673e+40,40.11701901349661,2.7019749013759775e+40,40.43168131054666,5.236771992893997e+39,39.71906366529281,3.6124562239513814e+39,39.5578025929794,9.700004415690352e+38,38.986771931968256,2.025538442711786e+39,39.306540490076586
NGC4939,8.66765976889302e+40,40.93790185564821,2.7090647369902377e+40,40.432819383247164,2.2815895496872466e+41,41.35823751898718,9.488989779510068e+40,40.97721997886167,1.8211950118622463e+40,40.26035645213271,1.84432992879374e+40,40.26583861380962,2.9870322003354853e+40,40.475239904342544,2.2350472745903104e+40,40.34928671354248
NGC4968,1.0792683815006658e+41,41.03312945405411,3.7063143131548756e+40,40.56894224679088,3.530732971809156e+41,41.54786487325411,1.1735379334575983e+41,41.069497132302786,1.992920079643454e+40,40.29948988291234,2.075889475079504e+40,40.31720422699873,2.7715729025047597e+40,40.442726306612094,9.254183147290026e+39,39.966338090265495
NGC4990,2.7657761836282187e+41,41.44181703255273,9.531233489968316e+40,40.979149108741304,1.3786295029364007e+41,41.13944756824302,1.005450981196965e+41,41.00236090226782,4.682623701069668e+40,40.670489258974634,4.297146707771668e+40,40.633180181072326,1.7178501342705129e+41,41.2349852731749,1.5053936068175023e+41,41.17765006731817
NGC5128,7.738071168711941e+40,40.88863271970375,2.6584571183270447e+40,40.4246296594126,2.7648130989679427e+40,40.44166577837838,4.740380598614979e+40,40.67581321197843,2.329621476155215e+40,40.36728536129568,1.6837071571905256e+40,40.22626655802134,1.2725087682945979e+38,38.10466078355012,3.718401794727713e+38,38.5703563159913
NGC5135,8.99787921534122e+41,41.95414015903816,3.0687456209187017e+41,41.486960889731904,7.763149271180594e+41,41.890037936933325,7.923391762343329e+41,41.898911129613026,1.6065970802655027e+41,41.205906973367,1.4715652216305382e+41,41.167779515342545,2.2521245411322578e+41,41.35259240306696,1.8815639501502605e+41,41.27451898360481
NGC5252,2.9400686165840723e+41,41.468357466281574,9.648208550433886e+40,40.98444668237109,8.563690240954005e+41,41.932660949949195,1.951834422707338e+41,41.29044297298511,8.535727935245526e+40,40.93124056408926,6.520540809048936e+40,40.81428361730331,1.683036608539755e+41,41.22609356262698,2.321100678346623e+41,41.36569397850077
NGC5253,6.683075449564705e+40,40.824976364182895,2.4736803624022004e+40,40.393343581383164,8.522037512996461e+40,40.93054344158134,5.3005337256222794e+39,39.724319602133285,6.453607650422972e+39,39.809802558769185,4.8879378991784337e+39,39.68912567959631,2.2535486687485906e+40,40.35286694174612,3.2548724937860984e+40,40.5125339802069
NGC5427,1.7270026914882126e+41,41.2372930144045,5.757569173247659e+40,40.76023916441817,3.559970371327483e+40,40.55144638347217,7.216231854736062e+40,40.85831047847164,2.1888595366428546e+40,40.34021789294381,1.5790961819246384e+40,40.19840858346426,3.6681105052216303e+39,39.564442410718016,8.642700279801496e+38,38.936649452363106
NGC5506,1.6105784457409498e+41,41.206981882662525,5.509283857273197e+40,40.74109514929681,3.632232990581539e+41,41.56017369868124,1.4941054376914967e+41,41.17438124633604,5.541239096157052e+40,40.7436068897198,5.888127880824717e+40,40.76997723362112,1.187524137183601e+40,40.07464244569826,6.198284218504847e+40,40.79227148666581
NGC5597,4.5248641310594516e+41,41.65560554309547,1.5504368514408468e+41,41.19045408232486,4.2394596203808988e+40,40.62731050309203,1.959789521203995e+41,41.29220943120947,5.134838561648021e+40,40.71052679401166,4.2231656523643527e+40,40.62563811682552,0.0,-inf,0.0,-inf
NGC5643,7.32842086358143e+40,40.865010402455994,2.3554892617220734e+40,40.372081128703535,1.2166108985276095e+41,41.085151702599696,5.884222504355228e+40,40.76968908665689,1.9631213078308784e+40,40.29294713693765,1.4225811050495817e+40,40.15307703603117,2.8448382218618544e+40,40.454057574298616,1.5301232021895435e+40,40.1847264006718
NGC5664,4.390347679824046e+41,41.642498914194306,1.5045080391835468e+41,41.17739451269007,2.0852766626321196e+41,41.31916368285103,2.211708691119614e+41,41.34472792454468,7.933873006133186e+40,40.899485244641156,5.447893574924036e+40,40.73622861500703,5.563854871052192e+40,40.74537579322453,1.039317303014673e+41,41.01674815767329
NGC5728,2.8613080857081816e+41,41.456564622125235,9.854572875425845e+40,40.99363780549364,4.7199513134189755e+41,41.67393751888355,2.522440614388976e+41,41.40182095047019,7.29676700469065e+40,40.86313047888352,5.445516031835072e+40,40.736039040962225,6.27704860990594e+40,40.797755491870745,2.4293427530439365e+40,40.38548879321361
NGC5757,2.8562865458664837e+41,41.45580177419873,9.800271124058262e+40,40.99123809059593,8.938927948186938e+39,39.9512854366813,1.305044745589342e+41,41.1156254024248,3.169663161515919e+40,40.501013112417255,2.1768981028733557e+40,40.337838100885136,4.6520501638435156e+39,39.66764438915249,7.62967485843309e+39,39.88250603072066
NGC5990,8.488280656533389e+41,41.92881973064454,2.938920332329221e+41,41.4681878134633,1.7826761826267294e+41,41.25107246214885,4.0465169190554794e+41,41.60708136057858,1.2398736717043164e+41,41.093377438003685,9.52125903935696e+40,40.97869438091505,4.377985495370068e+40,40.64127431838057,6.859259093732212e+40,40.83627720770657
NGC6000,4.556434584248306e+41,41.658625139581765,1.5796162606169146e+41,41.19855159572787,2.4142590435786654e+40,40.382783866905086,2.3712198217713038e+41,41.3749718167184,5.298171835137014e+40,40.72412603962403,4.434900655812356e+40,40.64688389584402,0.0,-inf,0.0,-inf
NGC613,1.605420432990166e+41,41.20558878615938,5.603580936478927e+40,40.748465649136946,2.608460347101069e+40,40.41638423911625,9.413824825866345e+40,40.97376611261649,2.7398794439978727e+40,40.43773145407647,2.1326788565740556e+40,40.32892546336402,3.923944358393812e+40,40.5937228404475,3.7793969911882805e+40,40.57742251298794
NGC6221,4.566826206544716e+41,41.6596144845707,1.5899513807946473e+41,41.20138384421011,4.90701768959082e+40,40.69081762359694,2.1786142281096443e+41,41.33818033559936,5.716287476367184e+40,40.75711406166206,4.907701260430308e+40,40.69087811866472,0.0,-inf,0.0,-inf
NGC6300,1.2550274995940706e+40,40.098653241985275,4.6683005341084755e+39,39.669158807121306,3.059805585529974e+40,40.485693833078365,1.7852145469777867e+40,40.2516904170697,3.041180579551611e+39,39.48304220849481,2.7818547964098393e+39,39.44433445751666,0.0,-inf,0.0,-inf
NGC6328,2.717389889905444e+41,41.43415195526972,9.433302877420798e+40,40.97466377866441,1.1131862352344532e+41,41.04656782755899,1.0634288289368844e+41,41.0267084296085,7.377575312079103e+40,40.867913651578085,6.397778498149073e+40,40.80602920000304,4.563443881718759e+40,40.65929271422636,8.855759687454543e+40,40.94722582288552
NGC6812,2.820337897813501e+40,40.45030114320049,1.2643132963813486e+40,40.10185470529926,1.0304375508760406e+40,40.01302167672488,2.834746903644197e+40,40.45251428959312,1.2195635029109488e+40,40.08620441903743,9.054599424335729e+39,39.95686924187827,8.630870718333084e+39,39.93605461136899,4.668300923382088e+39,39.66915884333564
NGC6860,5.877775166851136e+41,41.7692129696809,2.0353545389284585e+41,41.30864007001778,3.056646809944777e+41,41.48524525967683,1.4830104595264972e+41,41.171144214075326,4.377467251837813e+40,40.64122290577791,4.27698266582543e+40,40.63113749010913,5.404001656497397e+38,38.732715473475004,4.555584828082451e+41,41.65854413790735
NGC6890,1.5895649171070806e+41,41.20127826900177,5.474939003008634e+40,40.73837928500908,2.0492233652754784e+40,40.311589299064714,6.172176487094201e+40,40.79043833577661,2.182706540039283e+40,40.33899534972253,1.9386009479662389e+40,40.287488420769186,2.775356312282264e+38,38.4433187476476,2.498790401828571e+38,38.3977298290969
NGC6915,3.692421643408981e+41,41.56731128795253,1.2771179850766394e+41,41.1062310209132,2.9875209461737904e+40,40.47531095890207,1.7226240666830102e+41,41.23619051042608,8.09990129695843e+40,40.90847972672464,5.840046989530548e+40,40.766416341497965,1.3289649727688013e+40,40.123513534491494,2.453389934540767e+40,40.38976657917293
NGC6926,7.334787242336203e+41,41.86538752093057,2.2887024339768583e+41,41.35958933147642,9.10594637754482e+40,40.95932508853697,2.8643512779516422e+41,41.45702627785402,1.2553787497148543e+41,41.09877477290503,8.320853782863157e+40,40.92016789049294,8.045066303580657e+39,39.90552962769677,2.363077889898715e+40,40.37347803673847
NGC6936,3.015173914485414e+40,40.479312367196904,1.2681757096180796e+40,40.10317943054164,6.10692467143931e+39,39.78582256303172,2.7753666960553604e+40,40.44332037252254,1.7291038671994236e+40,40.237821082109484,1.0713914278782079e+40,40.02994816729343,4.7406608458822355e+38,38.67583888633973,8.251418824947338e+39,39.91652863156397
NGC7130,8.399314916859539e+41,41.92424386463795,2.9240690236048522e+41,41.46598762006999,4.035336133100751e+41,41.605879716176,5.1228683185606185e+41,41.70951319264044,1.1624323262488517e+41,41.065367678816024,7.818809455108787e+40,40.89314062947427,1.125284211628896e+41,41.051262225517014,2.0808296056469866e+40,40.31823651829088
NGC7172,4.799293524250776e+40,40.68117731214624,1.540914511487883e+40,40.18777854513052,2.2407603050527117e+40,40.350395402380464,3.510291699548906e+40,40.545343207132696,9.247928244591243e+39,39.9660444513642,5.608334655759319e+39,39.748833920581504,4.394850992772795e+37,37.642944154924336,4.39170438172589e+39,39.64263309881314
NGC7213,1.8035365133177909e+40,40.25612493920881,1.1730711378487164e+40,40.06932434957364,1.0406846694727134e+40,40.01731915693278,2.0687603513645413e+40,40.31571018418529,8.39149076714526e+39,39.923839121070976,6.044450987229123e+39,39.781356860358926,6.84623823543186e+39,39.83545200764633,4.788364001335893e+39,39.680187157140146
NGC7469,3.1720090173723893e+42,42.501334413257645,1.1123587682841441e+42,42.04624488253072,1.8606343041018144e+42,42.26966102368578,1.9466187718584318e+42,42.28928090709814,4.571870865965155e+41,41.66009395510234,4.129854217535864e+41,41.615934721477906,4.45151220134511e+40,40.648507568090594,5.073879889855143e+41,41.70534018228056
NGC7496,8.4002340190936e+40,40.92429138508394,2.8723675171221693e+40,40.45824000675644,1.0549342407334362e+40,40.02322538875533,3.8443584731313724e+40,40.58482387734307,1.1657700590726678e+40,40.06661289697201,9.732559372531229e+39,39.9882270617695,4.812979436129586e+39,39.68241400612063,1.217388402045777e+40,40.08542915995066
NGC7582,3.116313161421963e+41,41.49364109387975,1.08715390995124e+41,41.03629103213674,2.2426812686329988e+41,41.35076755574532,2.1728063729589693e+41,41.337021026411556,5.163173959601853e+40,40.712916757707,4.440082525423152e+40,40.64739104218733,0.0,-inf,0.0,-inf
NGC7590,1.26846566102274e+41,41.103278714813406,4.417819739894067e+40,40.64520799139815,2.257723643371163e+40,40.353670781032626,5.298519316369112e+40,40.72415452194546,2.530476704614928e+40,40.4032023435797,1.782673456211666e+40,40.25107179794077,2.904116415643603e+40,40.463014021689986,4.785169895774565e+40,40.679897361859474
NGC7591,3.3666158511594027e+41,41.52719356389636,1.0931580458695036e+41,41.0386829556249,1.3724728209653622e+40,40.13750375288778,1.868177202790421e+41,41.27141806811681,6.216792354103194e+40,40.79356636182317,3.841929143190965e+40,40.58454935089399,0.0,-inf,7.836134486385619e+38,38.89410188089518
NGC7679,2.0073624372528267e+42,42.30262579315917,7.032751674322224e+41,41.84712528279439,9.795211073234005e+41,41.99101379887625,9.744336828241373e+41,41.988752287616215,3.832716888997743e+41,41.58350674044218,2.0895526622773303e+41,41.32005332099209,4.264346641052474e+41,41.62985250046912,1.1121709560196206e+42,42.04617154943077
NGC7682,1.95961092334753e+41,41.29216985165403,7.043035625807596e+40,40.84775988519093,5.5594439946267735e+41,41.7450313595425,1.9809915718423623e+41,41.29688262783025,6.663657402583189e+40,40.82371266066878,7.058827430036565e+40,40.84873256465543,3.237730410505488e+40,40.510240684409915,4.766569232734446e+40,40.67820590537793
NGC7714,2.0899653203596232e+42,42.320139079746745,7.442614221455918e+41,41.871725508467215,1.1525837145190483e+42,42.06167247890621,5.952827373776611e+41,41.77472328861537,2.3843647144383774e+41,41.37737268619968,1.966211453512333e+41,41.29363022161177,2.0964397194840196e+42,42.32148237932159,1.6418697647667885e+42,42.21533870534962
NGC833,2.236784247618588e+40,40.3496240955908,6.856427311404574e+39,39.836097876184986,7.365067992836182e+39,39.86717676051704,2.439273380797839e+40,40.38726047645908,9.039487582921976e+39,39.956143812531025,6.155149253343616e+39,39.789238588399364,8.734278986674876e+39,39.941227059859,6.067099043083968e+38,38.78298108469413
NGC835,6.843327273599354e+41,41.835267310085385,2.3425479794824884e+41,41.369688494761995,5.453118081417099e+40,40.73664490196935,3.3767903504518175e+41,41.52850409810409,1.3412194236919873e+41,41.127499834304324,8.484888081494807e+40,40.92864611820234,8.76345389037322e+40,40.94267530592801,1.254151922242037e+41,41.098350148133484
PKS0056-572,3.264710549755805e+42,42.51384468263521,4.0603540427462617e+42,42.608563903554376,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf
PKS1306-241,6.813075398834797e+40,40.83334319520928,2.261269993575292e+40,40.35435241980642,5.455412753450703e+40,40.7368276146429,2.5497958737645673e+40,40.40650541398451,1.2100764747407472e+40,40.08281281784406,1.0804041628832993e+40,40.03358624888987,8.849282738025863e+39,39.94690807120164,1.0599644407908555e+40,40.02529129599368
PKS1521-300,2.640738005120727e+40,40.42172531579438,7.797585374119308e+39,39.89196013845399,8.362056038306108e+39,39.92231307364797,1.259991272921832e+40,40.1003675370739,6.204138068091181e+39,39.79268145412269,4.954273315134064e+39,39.694979961874424,0.0,-inf,0.0,-inf
UGC3255,7.667769445978602e+40,40.8846690460625,2.086444271402587e+40,40.31940678926553,4.814098382731038e+40,40.68251496143561,1.1624665041145565e+41,41.06538044776604,2.88784540631217e+40,40.46057394063493,2.1668461540608867e+40,40.33582807753381,0.0,-inf,2.600876426022023e+40,40.41511971829674
